4046,4225,4770,AveragePrice,Date,Large Bags,Small Bags,Total Bags,Total Volume,Unnamed: 0,XLarge Bags,region,type,year
108859.16,33405.69,227.53,1.15,9/13/2015,1694.5,55794.9,57625.6,200117.98,15.0,136.2,St Louis,Conventional,2015
85673.91,36576.66,71.5,1.3,9/6/2015,88.13,58293.14,58383.52,180705.59,16.0,2.25,St Louis,Conventional,2015
74751.64,34386.84,16.21,1.32,8/30/2015,404.34,55153.25,55562.09,164716.78,17.0,4.5,St Louis,Conventional,2015
111101.26,35104.11,33.19,1.11,8/23/2015,11.99,56606.63,56623.12,202861.68,18.0,4.5,St Louis,Conventional,2015
186669.12,44789.17,101.82,0.88,8/16/2015,0.0,59339.2,59345.94,290906.05,19.0,6.74,St Louis,Conventional,2015
92511.57,47874.46,230.92,1.15,8/9/2015,0.0,60173.56,60178.04,200794.99,20.0,4.48,St Louis,Conventional,2015
79291.85,43745.86,4.0,1.26,8/2/2015,0.0,61457.2,61459.44,184501.15,21.0,2.24,St Louis,Conventional,2015
120124.79,38710.22,21.88,1.06,7/26/2015,0.0,58136.12,58136.12,216993.01,22.0,0.0,St Louis,Conventional,2015
99044.52,41712.52,56.2,1.2,7/19/2015,0.0,63651.68,63651.68,204464.92,23.0,0.0,St Louis,Conventional,2015
132490.39,44204.19,232.99,1.13,7/12/2015,3.95,56425.96,56652.13,233579.7,24.0,222.22,St Louis,Conventional,2015
97253.4,57668.67,23.52,1.32,7/5/2015,642.85,69313.52,69956.37,224901.96,25.0,0.0,St Louis,Conventional,2015
107631.08,40137.34,54.82,1.17,6/28/2015,39.3,69371.63,69410.93,217234.17,26.0,0.0,St Louis,Conventional,2015
84699.66,38461.41,51.04,1.26,6/21/2015,0.0,74925.07,74925.07,198137.18,27.0,0.0,St Louis,Conventional,2015
87726.18,41782.62,102.06,1.28,6/14/2015,0.0,73588.28,73636.45,203247.31,28.0,48.17,St Louis,Conventional,2015
92964.49,38450.22,41.86,1.3,6/7/2015,0.0,63206.71,63211.07,194667.64,29.0,4.36,St Louis,Conventional,2015
147104.98,38945.34,8.73,1.16,5/31/2015,23.12,61113.45,61136.57,247195.62,30.0,0.0,St Louis,Conventional,2015
135166.39,38773.04,9.0,1.18,5/24/2015,7.67,62233.36,62241.03,236189.46,31.0,0.0,St Louis,Conventional,2015
96530.89,37553.09,37.3,1.32,5/17/2015,0.0,52814.74,52814.74,186936.02,32.0,0.0,St Louis,Conventional,2015
125846.03,33050.99,42.85,1.25,5/10/2015,0.0,59620.93,59623.07,218562.94,33.0,2.14,St Louis,Conventional,2015
190986.18,36252.66,32.39,1.09,5/3/2015,0.0,47809.69,47809.69,275080.92,34.0,0.0,St Louis,Conventional,2015
86967.98,42320.51,15.07,1.37,4/26/2015,0.0,48894.75,48896.86,178200.42,35.0,2.11,St Louis,Conventional,2015
101449.24,38169.29,33.73,1.34,4/19/2015,4.71,45322.98,45327.69,184979.95,36.0,0.0,St Louis,Conventional,2015
138215.06,37441.77,144.84,1.21,4/12/2015,0.0,38323.44,38323.44,214125.11,37.0,0.0,St Louis,Conventional,2015
77970.98,34544.71,67.97,1.36,4/5/2015,115.56,46762.42,46877.98,159461.64,38.0,0.0,St Louis,Conventional,2015
111921.69,39575.0,56.26,1.21,3/29/2015,155.56,46687.25,46842.81,198395.76,39.0,0.0,St Louis,Conventional,2015
77997.93,37696.27,39.92,1.34,3/22/2015,77.77,47513.51,47591.28,163325.4,40.0,0.0,St Louis,Conventional,2015
70836.3,36549.13,69.74,1.33,3/15/2015,153.33,50190.73,50344.06,157799.23,41.0,0.0,St Louis,Conventional,2015
73956.89,31856.71,48.39,1.36,3/8/2015,0.0,41663.6,41663.6,147525.59,42.0,0.0,St Louis,Conventional,2015
93746.89,39403.61,100.73,1.24,3/1/2015,6.67,46019.51,46026.18,179277.41,43.0,0.0,St Louis,Conventional,2015
75717.36,36667.64,58.03,1.32,2/22/2015,8.89,43660.75,43669.64,156112.67,44.0,0.0,St Louis,Conventional,2015
88022.48,33530.37,41.17,1.23,2/15/2015,31.11,47493.52,47524.63,169118.65,45.0,0.0,St Louis,Conventional,2015
140791.53,31995.56,48.87,1.09,2/8/2015,2.22,41880.81,41883.03,214718.99,46.0,0.0,St Louis,Conventional,2015
209893.28,48651.4,59.1,1.1,2/1/2015,0.0,49768.12,49768.12,308371.9,47.0,0.0,St Louis,Conventional,2015
99020.78,31381.54,42.62,1.17,1/25/2015,0.0,46375.55,46375.55,176820.49,48.0,0.0,St Louis,Conventional,2015
78724.96,50701.59,145.35,1.28,1/18/2015,4.44,41014.51,41018.95,170590.85,49.0,0.0,St Louis,Conventional,2015
79292.59,41050.38,62.72,1.29,1/11/2015,2.22,44509.7,44511.92,164917.61,50.0,0.0,St Louis,Conventional,2015
125713.89,34555.73,53.54,1.15,1/4/2015,11.11,38400.99,38412.1,198735.26,51.0,0.0,St Louis,Conventional,2015
828.65,23560.51,14.41,1.36,12/27/2015,0.0,17940.65,17940.65,42344.22,0.0,0.0,Syracuse,Conventional,2015
646.68,22231.33,12.89,1.36,12/20/2015,0.0,16474.25,16474.25,39365.15,1.0,0.0,Syracuse,Conventional,2015
773.81,33149.83,5.7,1.32,12/13/2015,0.0,16455.23,16455.23,50384.57,2.0,0.0,Syracuse,Conventional,2015
874.9,34439.57,11.91,1.17,12/6/2015,0.0,15306.35,15306.35,50632.73,3.0,0.0,Syracuse,Conventional,2015
719.36,21285.35,8.89,1.41,11/29/2015,0.0,13839.08,13839.08,35852.68,4.0,0.0,Syracuse,Conventional,2015
846.69,22314.4,34.38,1.38,11/22/2015,0.0,15904.98,15904.98,39100.45,5.0,0.0,Syracuse,Conventional,2015
912.37,34236.71,20.94,1.21,11/15/2015,191.11,16364.8,16555.91,51725.93,6.0,0.0,Syracuse,Conventional,2015
645.86,37788.65,12.84,1.23,11/8/2015,422.22,16690.52,17112.74,55560.09,7.0,0.0,Syracuse,Conventional,2015
1062.84,36281.55,29.66,1.16,11/1/2015,346.67,17374.9,17721.57,55095.62,8.0,0.0,Syracuse,Conventional,2015
935.77,30448.48,18.45,1.26,10/25/2015,675.56,16893.34,17568.9,48971.6,9.0,0.0,Syracuse,Conventional,2015
748.89,28155.56,21.65,1.26,10/18/2015,364.44,19364.64,19729.08,48655.18,10.0,0.0,Syracuse,Conventional,2015
1054.4,27690.82,26.06,1.32,10/11/2015,537.78,15861.44,16399.22,45170.5,11.0,0.0,Syracuse,Conventional,2015
1777.42,22698.79,10.41,1.34,10/4/2015,533.33,16884.11,17417.44,41904.06,12.0,0.0,Syracuse,Conventional,2015
925.8,43139.43,19.65,1.16,9/27/2015,128.89,9981.16,10110.05,54194.93,13.0,0.0,Syracuse,Conventional,2015
775.55,27299.15,29.82,1.44,9/20/2015,448.89,8492.34,8941.23,37045.75,14.0,0.0,Syracuse,Conventional,2015
882.3,30696.69,45.47,1.44,9/13/2015,475.56,10960.58,11436.14,43060.6,15.0,0.0,Syracuse,Conventional,2015
675.27,37504.92,97.12,1.36,9/6/2015,0.0,10081.42,10081.42,48358.73,16.0,0.0,Syracuse,Conventional,2015
601.15,43932.05,102.42,1.2,8/30/2015,0.0,9064.05,9064.05,53699.67,17.0,0.0,Syracuse,Conventional,2015
579.09,30616.05,77.91,1.44,8/23/2015,0.0,11660.76,11660.76,42933.81,18.0,0.0,Syracuse,Conventional,2015
619.41,32282.72,82.0,1.42,8/16/2015,0.0,11261.32,11261.32,44245.45,19.0,0.0,Syracuse,Conventional,2015
510.89,39597.11,127.27,1.35,8/9/2015,0.0,10859.71,10859.71,51094.98,20.0,0.0,Syracuse,Conventional,2015
722.58,26661.77,219.89,1.48,8/2/2015,0.0,13396.2,13396.2,41000.44,21.0,0.0,Syracuse,Conventional,2015
878.02,41541.46,334.92,1.23,7/26/2015,0.0,17192.87,17192.87,59947.27,22.0,0.0,Syracuse,Conventional,2015
593.22,34449.87,1027.97,1.38,7/19/2015,0.0,23356.77,23356.77,59427.83,23.0,0.0,Syracuse,Conventional,2015
577.45,43147.8,2809.38,1.25,7/12/2015,97.78,28512.46,28610.24,75144.87,24.0,0.0,Syracuse,Conventional,2015
797.75,35080.61,3980.63,1.45,7/5/2015,217.78,28845.65,29063.43,68922.42,25.0,0.0,Syracuse,Conventional,2015
755.7,30246.27,2965.17,1.39,6/28/2015,31.11,29940.56,29971.67,63938.81,26.0,0.0,Syracuse,Conventional,2015
624.44,32511.25,3173.19,1.4,6/21/2015,0.0,24061.39,24061.39,60370.27,27.0,0.0,Syracuse,Conventional,2015
547.63,27340.54,2737.16,1.35,6/14/2015,0.0,34559.23,34559.23,65184.56,28.0,0.0,Syracuse,Conventional,2015
632.01,41825.39,31.87,1.22,6/7/2015,0.0,27287.24,27287.24,69776.51,29.0,0.0,Syracuse,Conventional,2015
744.02,34985.62,44.53,1.36,5/31/2015,0.0,29065.41,29065.41,64839.58,30.0,0.0,Syracuse,Conventional,2015
559.81,34572.48,36.29,1.35,5/24/2015,0.0,26415.68,26415.68,61584.26,31.0,0.0,Syracuse,Conventional,2015
743.44,42174.14,39.09,1.44,5/17/2015,168.89,26524.29,26693.18,69649.85,32.0,0.0,Syracuse,Conventional,2015
899.13,44891.19,24.6,1.34,5/10/2015,331.65,32561.81,32893.46,78708.38,33.0,0.0,Syracuse,Conventional,2015
634.61,24201.46,18.81,1.4,5/3/2015,330.8,25405.7,25736.5,50591.38,34.0,0.0,Syracuse,Conventional,2015
768.09,23424.19,19.39,1.4,4/26/2015,235.56,24363.82,24599.38,48811.05,35.0,0.0,Syracuse,Conventional,2015
721.11,24884.63,49.37,1.4,4/19/2015,136.25,27009.47,27145.72,52800.83,36.0,0.0,Syracuse,Conventional,2015
670.17,21961.57,26.37,1.36,4/12/2015,226.11,23944.66,24170.77,46828.88,37.0,0.0,Syracuse,Conventional,2015
716.97,24675.99,20.46,1.38,4/5/2015,262.22,24340.17,24602.39,50015.81,38.0,0.0,Syracuse,Conventional,2015
1020.84,28858.3,42.67,1.29,3/29/2015,120.42,22377.48,22497.9,52419.71,39.0,0.0,Syracuse,Conventional,2015
2030.41,21884.43,43.48,1.33,3/22/2015,0.0,24222.66,24222.66,48180.98,40.0,0.0,Syracuse,Conventional,2015
2534.42,20482.33,18.86,1.36,3/15/2015,22.22,19020.75,19042.97,42078.58,41.0,0.0,Syracuse,Conventional,2015
796.52,23821.37,25.35,1.28,3/8/2015,237.78,21318.18,21555.96,46199.2,42.0,0.0,Syracuse,Conventional,2015
728.61,22776.67,53.84,1.32,3/1/2015,53.33,24277.64,24330.97,47890.09,43.0,0.0,Syracuse,Conventional,2015
1098.61,21441.05,41.7,1.33,2/22/2015,264.44,19816.85,20081.29,42662.65,44.0,0.0,Syracuse,Conventional,2015
880.54,19621.76,7.48,1.35,2/15/2015,122.22,18118.74,18240.96,38750.74,45.0,0.0,Syracuse,Conventional,2015
1093.76,26366.48,14.2,1.25,2/8/2015,424.44,23658.13,24082.57,51557.01,46.0,0.0,Syracuse,Conventional,2015
1321.47,30243.88,14.24,1.26,2/1/2015,51.11,25793.45,25844.56,57424.15,47.0,0.0,Syracuse,Conventional,2015
810.15,22526.2,36.39,1.37,1/25/2015,420.0,20725.1,21145.1,44517.84,48.0,0.0,Syracuse,Conventional,2015
789.84,24755.46,27.89,1.4,1/18/2015,0.0,14818.36,14818.36,40391.55,49.0,0.0,Syracuse,Conventional,2015
984.29,21576.29,14.93,1.45,1/11/2015,0.0,19441.98,19441.98,42017.49,50.0,0.0,Syracuse,Conventional,2015
2506.61,20905.01,16.68,1.33,1/4/2015,0.0,17715.21,17715.21,41143.51,51.0,0.0,Syracuse,Conventional,2015
246326.83,35652.12,56.54,0.97,12/27/2015,38301.93,55850.56,94152.49,376187.98,0.0,0.0,Tampa,Conventional,2015
146376.83,23810.77,33.84,1.15,12/20/2015,18013.56,50715.84,68729.4,238950.84,1.0,0.0,Tampa,Conventional,2015
242293.88,40944.16,52.15,0.96,12/13/2015,40338.72,42015.01,82353.73,365643.92,2.0,0.0,Tampa,Conventional,2015
145404.19,29926.02,43.83,1.17,12/6/2015,18505.52,33251.65,51757.17,227131.21,3.0,0.0,Tampa,Conventional,2015
213390.26,41026.86,18.37,0.96,11/29/2015,38839.83,36785.63,75625.46,330060.95,4.0,0.0,Tampa,Conventional,2015
194667.16,39338.15,57.68,0.97,11/22/2015,30787.5,46934.42,77721.92,311784.91,5.0,0.0,Tampa,Conventional,2015
138482.7,32425.9,51.52,1.22,11/15/2015,21691.49,43524.24,65218.55,236178.67,6.0,2.82,Tampa,Conventional,2015
135741.88,33351.68,40.46,1.21,11/8/2015,18696.73,40754.56,59451.29,228585.31,7.0,0.0,Tampa,Conventional,2015
228324.13,72749.38,100.62,0.97,11/1/2015,45890.83,44449.47,90340.3,391514.43,8.0,0.0,Tampa,Conventional,2015
109048.96,51940.14,43.18,1.12,10/25/2015,36998.43,35990.35,72991.62,234023.9,9.0,2.84,Tampa,Conventional,2015
112096.12,54378.07,42.22,1.11,10/18/2015,40703.27,49373.24,90093.59,256610.0,10.0,17.08,Tampa,Conventional,2015
175545.51,90767.27,80.58,0.88,10/11/2015,88049.12,47783.02,135834.99,402228.35,11.0,2.85,Tampa,Conventional,2015
184069.95,92366.74,106.53,0.89,10/4/2015,84698.84,52595.05,137296.74,413839.96,12.0,2.85,Tampa,Conventional,2015
99077.59,70565.14,99.97,1.13,9/27/2015,39668.36,42717.37,82385.73,252128.43,13.0,0.0,Tampa,Conventional,2015
186843.91,104344.66,88.0,0.88,9/20/2015,91438.39,50247.33,141685.72,432962.29,14.0,0.0,Tampa,Conventional,2015
97653.71,69978.38,102.06,1.1,9/13/2015,39529.65,50111.01,89640.66,257374.81,15.0,0.0,Tampa,Conventional,2015
205188.66,94841.92,63.26,0.91,9/6/2015,76303.81,60131.29,136435.1,436528.94,16.0,0.0,Tampa,Conventional,2015
126060.57,53665.74,149.12,1.2,8/30/2015,17980.34,64691.49,82699.9,262575.33,17.0,28.07,Tampa,Conventional,2015
126817.4,54873.96,66.95,1.17,8/23/2015,15425.66,66986.23,82411.89,264170.2,18.0,0.0,Tampa,Conventional,2015
139923.45,50157.8,66.42,1.17,8/16/2015,17900.5,75599.35,93499.85,283647.52,19.0,0.0,Tampa,Conventional,2015
257930.36,58043.78,161.33,0.97,8/9/2015,35397.12,75694.1,111093.97,427229.44,20.0,2.75,Tampa,Conventional,2015
139950.79,50642.05,170.4,1.18,8/2/2015,15348.03,68312.39,83660.42,274423.66,21.0,0.0,Tampa,Conventional,2015
133615.12,48153.33,115.96,1.16,7/26/2015,16003.01,67480.1,83483.11,265367.52,22.0,0.0,Tampa,Conventional,2015
258972.92,61716.04,138.6,0.97,7/19/2015,35915.99,64830.87,100746.86,421574.42,23.0,0.0,Tampa,Conventional,2015
149510.03,54927.82,100.6,1.17,7/12/2015,16139.48,68163.21,84599.91,289138.36,24.0,297.22,Tampa,Conventional,2015
282433.1,71003.58,163.96,0.95,7/5/2015,36939.3,91543.31,128487.92,482088.56,25.0,5.31,Tampa,Conventional,2015
157030.05,56095.25,108.06,1.11,6/28/2015,17905.78,94295.35,112201.13,325434.49,26.0,0.0,Tampa,Conventional,2015
262821.95,58036.49,773.09,0.95,6/21/2015,36436.94,80513.03,116949.97,438581.5,27.0,0.0,Tampa,Conventional,2015
152836.19,39330.6,2087.35,1.17,6/14/2015,18385.75,82324.41,100710.16,294964.3,28.0,0.0,Tampa,Conventional,2015
295793.0,35164.49,467.96,0.97,6/7/2015,35862.05,65864.81,101726.86,433152.31,29.0,0.0,Tampa,Conventional,2015
181641.14,18121.91,203.98,1.22,5/31/2015,15763.32,57879.61,73642.93,273609.96,30.0,0.0,Tampa,Conventional,2015
331416.4,30794.75,279.94,0.99,5/24/2015,39203.36,58346.93,97550.29,460041.38,31.0,0.0,Tampa,Conventional,2015
182281.62,18249.86,79.99,1.18,5/17/2015,16142.76,58505.85,74648.61,275260.08,32.0,0.0,Tampa,Conventional,2015
197831.01,20278.37,88.47,1.21,5/10/2015,15834.99,53035.85,68870.84,287068.69,33.0,0.0,Tampa,Conventional,2015
401968.96,37800.63,164.47,0.97,5/3/2015,55151.18,62416.87,118179.16,558113.22,34.0,611.11,Tampa,Conventional,2015
203078.44,19757.32,118.14,1.19,4/26/2015,19915.86,60977.02,81181.77,304135.67,35.0,288.89,Tampa,Conventional,2015
182582.22,19553.08,138.42,1.16,4/19/2015,21911.54,56279.47,78191.01,280464.73,36.0,0.0,Tampa,Conventional,2015
304622.85,30735.77,170.44,0.99,4/12/2015,43252.62,46251.46,89504.08,425033.14,37.0,0.0,Tampa,Conventional,2015
242307.65,26336.27,193.86,1.09,4/5/2015,34191.37,51105.07,85296.44,354134.22,38.0,0.0,Tampa,Conventional,2015
169276.36,18562.0,94.15,1.2,3/29/2015,21432.39,45155.64,66588.03,254520.54,39.0,0.0,Tampa,Conventional,2015
310473.4,32912.35,105.17,0.97,3/22/2015,40992.68,55623.32,96616.0,440106.92,40.0,0.0,Tampa,Conventional,2015
173099.66,19983.36,62.96,1.25,3/15/2015,17531.34,46495.52,64026.86,257172.84,41.0,0.0,Tampa,Conventional,2015
166383.8,19097.27,68.37,1.22,3/8/2015,18020.44,55747.85,73768.29,259317.73,42.0,0.0,Tampa,Conventional,2015
258084.33,27867.24,38.19,1.0,3/1/2015,36709.42,50762.76,87472.18,373461.94,43.0,0.0,Tampa,Conventional,2015
167595.76,22043.38,39.19,1.12,2/22/2015,16538.31,62198.85,78737.16,268415.49,44.0,0.0,Tampa,Conventional,2015
154111.87,20647.04,56.4,1.21,2/15/2015,33540.15,34123.19,67663.34,242478.65,45.0,0.0,Tampa,Conventional,2015
155193.87,21932.31,59.0,1.19,2/8/2015,33732.3,25516.89,59249.19,236434.37,46.0,0.0,Tampa,Conventional,2015
392037.18,53180.28,79.96,0.92,2/1/2015,66414.59,50530.52,116945.11,562242.53,47.0,0.0,Tampa,Conventional,2015
161291.0,30244.52,40.52,1.21,1/25/2015,38569.86,30325.33,68895.19,260471.23,48.0,0.0,Tampa,Conventional,2015
132142.6,33674.07,37.38,1.27,1/18/2015,38060.23,25006.34,63066.57,228920.62,49.0,0.0,Tampa,Conventional,2015
142237.71,36017.93,56.25,1.24,1/11/2015,37313.8,19605.39,56919.19,235231.08,50.0,0.0,Tampa,Conventional,2015
226346.7,37517.53,53.15,0.97,1/4/2015,42544.24,33447.51,75991.75,339909.13,51.0,0.0,Tampa,Conventional,2015
9626901.09,10197890.05,1184340.09,0.95,12/27/2015,1252626.31,4850404.09,6288852.44,27297983.67,0.0,185822.04,TotalUS,Conventional,2015
8710021.76,9329861.85,1201020.01,0.98,12/20/2015,1025048.77,4618389.66,5842743.55,25083647.17,1.0,199305.12,TotalUS,Conventional,2015
9855053.66,10805838.91,1016163.17,0.93,12/13/2015,1371440.28,4964462.13,6364279.64,28041335.38,2.0,28377.23,TotalUS,Conventional,2015
9405464.36,12160838.62,931830.63,0.89,12/6/2015,1233956.21,5005077.36,6302262.96,28800396.57,3.0,63229.39,TotalUS,Conventional,2015
8094803.56,9003178.41,731008.41,0.99,11/29/2015,856560.34,3901953.04,4789009.0,22617999.38,4.0,30495.62,TotalUS,Conventional,2015
8571849.8,10389879.59,804662.83,0.96,11/22/2015,1137229.84,4178583.45,5347835.89,25114228.11,5.0,32022.6,TotalUS,Conventional,2015
9907981.27,11699787.51,815641.54,0.92,11/15/2015,1283546.73,4854619.04,6174345.95,28597756.27,6.0,36180.18,TotalUS,Conventional,2015
9991330.31,12199657.4,1143214.59,0.97,11/8/2015,1027701.97,4058500.97,5151513.67,28485715.97,7.0,65310.73,TotalUS,Conventional,2015
10138703.85,14229286.82,1410928.18,0.97,11/1/2015,1246220.37,3966597.25,5268565.42,31047484.27,8.0,55747.8,TotalUS,Conventional,2015
8683958.8,11410478.34,1188118.95,1.04,10/25/2015,999727.7,3918658.43,4957516.02,26240072.11,9.0,39129.89,TotalUS,Conventional,2015
9162094.14,14082539.61,1220251.19,0.99,10/18/2015,952191.42,3930198.18,4910238.66,29375123.6,10.0,27849.06,TotalUS,Conventional,2015
8828340.53,13326573.45,1614282.73,1.0,10/11/2015,1221305.29,4153477.6,5447001.44,29216198.15,11.0,72218.55,TotalUS,Conventional,2015
8353619.97,13775651.69,1209045.07,1.02,10/4/2015,1189350.26,3664890.84,4905188.79,28243505.52,12.0,50947.69,TotalUS,Conventional,2015
8454208.8,13819912.63,1061979.37,1.03,9/27/2015,886423.93,3476492.68,4417407.34,27753508.14,13.0,54490.73,TotalUS,Conventional,2015
9422275.27,13846044.56,1112405.42,1.02,9/20/2015,1183732.08,3938274.51,5188361.31,29569086.56,14.0,66354.72,TotalUS,Conventional,2015
9875018.48,14888077.69,1118988.92,1.03,9/13/2015,1226810.47,4072661.53,5363750.56,31245835.65,15.0,64278.56,TotalUS,Conventional,2015
12569277.14,14245598.38,1129771.19,1.02,9/6/2015,1184888.95,4363707.93,5581833.37,33526480.08,16.0,33236.49,TotalUS,Conventional,2015
11650976.87,11995960.83,1060352.53,1.07,8/30/2015,685816.37,4316352.47,5054348.25,29761638.48,17.0,52179.41,TotalUS,Conventional,2015
11283021.31,12551529.7,909284.22,1.08,8/23/2015,612362.43,4318010.6,4956010.38,29699845.61,18.0,25637.35,TotalUS,Conventional,2015
12680252.48,12998327.25,1143364.58,1.05,8/16/2015,703542.1,4342839.06,5114911.87,31936856.18,19.0,68530.71,TotalUS,Conventional,2015
13003371.07,13926692.62,1014520.88,1.05,8/9/2015,888237.91,4391461.66,5310327.3,33254911.87,20.0,30627.73,TotalUS,Conventional,2015
12115233.76,12219014.12,984702.75,1.09,8/2/2015,689175.8,4322985.19,5039517.25,30358467.88,21.0,27356.26,TotalUS,Conventional,2015
12196225.93,12009228.05,1017157.74,1.07,7/26/2015,779807.55,4627251.87,5429599.36,30652211.08,22.0,22539.94,TotalUS,Conventional,2015
12742760.17,12605457.17,1154897.34,1.07,7/19/2015,1013834.06,4757798.96,5821532.98,32324647.66,23.0,49899.96,TotalUS,Conventional,2015
12384449.4,12403360.2,980361.75,1.07,7/12/2015,796786.14,5067198.34,5891860.33,31660031.68,24.0,27875.85,TotalUS,Conventional,2015
15643939.37,14213650.06,1342465.95,1.04,7/5/2015,905204.55,5803954.33,6743614.96,37943670.34,25.0,34456.08,TotalUS,Conventional,2015
13299568.71,11505999.24,1045832.54,1.06,6/28/2015,846752.4,5690216.31,6557305.21,32408705.7,26.0,20336.5,TotalUS,Conventional,2015
14699604.93,13244466.6,1326422.56,1.02,6/21/2015,898027.46,5517909.51,6464119.81,35734613.9,27.0,48182.84,TotalUS,Conventional,2015
16383685.07,12821015.03,1085081.61,0.98,6/14/2015,822399.78,5893641.72,6736304.04,37026085.75,28.0,20262.54,TotalUS,Conventional,2015
16529797.6,12582265.21,1144715.95,1.0,6/7/2015,943995.95,5304562.91,6293216.9,36549995.66,29.0,44658.04,TotalUS,Conventional,2015
15503613.33,11599634.02,903908.35,1.03,5/31/2015,726046.25,4967231.63,5713003.39,33720159.09,30.0,19725.51,TotalUS,Conventional,2015
16000107.8,12513821.19,899779.92,1.04,5/24/2015,815628.55,5094263.38,5930474.24,35344183.15,31.0,20582.31,TotalUS,Conventional,2015
14615941.59,11003341.22,963549.53,1.06,5/17/2015,660983.55,4747544.74,5444853.81,32027686.15,32.0,36325.52,TotalUS,Conventional,2015
16215328.75,13509064.65,858145.45,1.02,5/10/2015,816629.4,4991625.82,5818347.73,36400886.58,33.0,10092.51,TotalUS,Conventional,2015
17787611.93,16602589.04,1118329.5,0.96,5/3/2015,1110987.23,4647155.48,5783173.92,41291704.39,34.0,25031.21,TotalUS,Conventional,2015
13833715.28,10867403.08,889732.2,1.07,4/26/2015,687179.4,4584203.44,5303307.24,30894157.8,35.0,31924.4,TotalUS,Conventional,2015
14251319.31,12277858.78,1016631.26,1.03,4/19/2015,819935.17,4696224.79,5545446.91,33091256.26,36.0,29286.95,TotalUS,Conventional,2015
14793354.18,11210544.11,807942.41,1.02,4/12/2015,826567.05,4400469.38,5234560.94,32046401.64,37.0,7524.51,TotalUS,Conventional,2015
13939014.43,11526980.36,871981.29,1.06,4/5/2015,666514.74,4477299.71,5162693.36,31500669.44,38.0,18878.91,TotalUS,Conventional,2015
12524637.04,11541041.35,811272.88,1.04,3/29/2015,610349.2,4487886.76,5105697.16,29982648.43,39.0,7461.2,TotalUS,Conventional,2015
13697405.61,12659784.83,1066385.92,1.01,3/22/2015,762527.54,4275071.46,5089974.15,32513550.51,40.0,52375.15,TotalUS,Conventional,2015
13149988.71,10634070.76,871575.04,1.04,3/15/2015,614904.92,4287621.56,4916591.2,29572225.71,41.0,14064.72,TotalUS,Conventional,2015
13013750.35,10973972.6,834009.15,1.02,3/8/2015,673149.42,4583726.82,5272966.75,30094698.85,42.0,16090.51,TotalUS,Conventional,2015
13282222.98,13733124.48,1070576.07,0.97,3/1/2015,725218.35,4129138.63,4908090.63,32994014.16,43.0,53733.65,TotalUS,Conventional,2015
12628562.36,11354281.64,937138.85,1.02,2/22/2015,667149.29,4336247.12,5016746.91,29936729.76,44.0,13350.5,TotalUS,Conventional,2015
12626615.3,9783489.59,845653.52,1.03,2/15/2015,648632.0,4096226.46,4756762.52,28012520.93,45.0,11904.06,TotalUS,Conventional,2015
13308193.4,13381347.54,737939.45,0.95,2/8/2015,673453.54,4022474.85,4709852.62,32137333.01,46.0,13924.23,TotalUS,Conventional,2015
18933038.04,18956479.74,1381516.11,0.89,2/1/2015,1121076.47,4216452.03,5384427.62,44655461.51,47.0,46899.12,TotalUS,Conventional,2015
12167445.03,10734652.82,768020.05,1.04,1/25/2015,812924.73,3978636.9,4800192.94,28470310.84,48.0,8631.31,TotalUS,Conventional,2015
11858139.34,11701947.8,831301.9,1.03,1/18/2015,771093.2,3873041.26,4652069.81,29043458.85,49.0,7935.35,TotalUS,Conventional,2015
11544810.53,12134773.38,866574.66,1.01,1/11/2015,718333.87,3783261.16,4517384.18,29063542.75,50.0,15789.15,TotalUS,Conventional,2015
12357161.34,13624083.05,844093.32,0.95,1/4/2015,894945.63,3585321.58,4498940.02,31324277.73,51.0,18672.81,TotalUS,Conventional,2015
2038443.68,1717599.45,125254.82,0.83,12/27/2015,567269.76,838267.79,1410681.68,5291979.63,0.0,5144.13,West,Conventional,2015
2017331.24,1314711.0,130849.6,0.88,12/20/2015,417746.45,843691.13,1274757.19,4737649.03,1.0,13319.61,West,Conventional,2015
1798995.46,1596329.01,134101.62,0.85,12/13/2015,517936.19,851506.76,1370013.83,4899439.92,2.0,570.88,West,Conventional,2015
2097720.52,2051392.83,107568.34,0.75,12/6/2015,582846.33,1360760.83,1945832.15,6202513.84,3.0,2224.99,West,Conventional,2015
1461861.54,1216811.0,104219.76,0.99,11/29/2015,247318.15,688674.0,936710.91,3719603.21,4.0,718.76,West,Conventional,2015
1549012.12,1588339.47,118170.98,0.92,11/22/2015,494585.14,730580.48,1226467.77,4481990.34,5.0,1302.15,West,Conventional,2015
1996852.58,2060439.93,122763.34,0.83,11/15/2015,699956.7,1080985.7,1792437.92,5972493.77,6.0,11495.52,West,Conventional,2015
2204338.57,1668416.99,107753.58,0.88,11/8/2015,341544.79,770544.02,1114328.4,5094837.54,7.0,2239.59,West,Conventional,2015
1815066.15,1937479.91,132883.59,0.9,11/1/2015,421675.08,717110.41,1139428.49,5024858.14,8.0,643.0,West,Conventional,2015
1574344.01,1990844.8,134572.92,0.95,10/25/2015,420764.79,823727.52,1246073.81,4945835.54,9.0,1581.5,West,Conventional,2015
2012887.19,2170792.82,110348.57,0.89,10/18/2015,429405.37,689893.69,1119504.06,5413532.64,10.0,205.0,West,Conventional,2015
